2025-04-14 17:14:07,582 - DBFMerger - INFO - Файл успешно сохранен: /home/ivan/PycharmProjects/PythonProject/dbf_results.xlsx
2025-04-14 17:14:07,887 - DBQuery - INFO - Успешное подключение к базе данных
2025-04-14 17:14:07,887 - DBQuery - INFO - Соединение с базой данных закрыто
2025-04-14 17:14:07,888 - DBFMerger - ERROR - Ошибка выполнения SQL запросов: not all arguments converted during string formatting
2025-04-14 17:17:18,053 - DBFMerger - INFO - Файл успешно сохранен: /home/ivan/PycharmProjects/PythonProject/12070709800161/dbf_results.xlsx
2025-04-14 17:17:18,270 - DBQuery - INFO - Успешное подключение к базе данных
2025-04-14 17:17:38,930 - DBFMerger - INFO - Файл успешно сохранен: /home/ivan/PycharmProjects/PythonProject/12070709800161/sql_results.xlsx
2025-04-14 17:17:38,930 - DBQuery - INFO - Соединение с базой данных закрыто
2025-04-15 10:15:55,689 - DBFMerger - INFO - Объединение DBF файлов...
2025-04-15 10:15:55,690 - DBFMerger - ERROR - Ошибка обработки: 'DBFMerger' object has no attribute 'dbf_processor'
2025-04-15 10:23:57,257 - DBFMerger - INFO - Объединение DBF файлов...
2025-04-15 10:33:25,232 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,275 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,319 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,363 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,406 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,450 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,492 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,535 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,578 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,622 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,665 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,708 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,750 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,793 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,836 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,879 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,922 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:25,966 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,010 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,056 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,134 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,184 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,230 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,276 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,321 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,370 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,421 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,464 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,507 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:26,552 - DBQuery - ERROR - Ошибка выполнения запроса: (1146, "Table 's12.equipment' doesn't exist")
2025-04-15 10:33:29,951 - DBFMerger - ERROR - Ошибка сравнения: 'SN'
2025-04-15 10:33:44,240 - DBFMerger - ERROR - Ошибка сравнения: 'SN'
2025-04-15 10:33:49,624 - DBFMerger - ERROR - Ошибка сравнения: 'SN'
2025-04-15 10:35:16,940 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:16,983 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,027 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,069 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,111 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,154 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,196 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,239 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,282 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,324 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,367 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,411 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,453 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,497 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,540 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,582 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,625 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,671 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,714 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,756 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,798 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,841 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,883 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,931 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:17,977 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:18,024 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:18,066 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:18,110 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:18,152 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:18,195 - DBQuery - ERROR - Ошибка выполнения запроса: (1065, 'Query was empty')
2025-04-15 10:35:19,704 - DBFMerger - ERROR - Ошибка сравнения: 'SN'
